SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22022,1626164,0022200358,"Dec 05, 2022",PHX @ DAL,L,30,4,13,0.308,1,2,0.5,2,2,1.0,0,2,2,5,0,0,1,4,11,-18,1
22022,1626164,0022200345,"Dec 04, 2022",PHX @ SAS,W,28,7,16,0.438,1,3,0.333,5,5,1.0,0,0,0,8,0,0,2,2,20,26,1
22022,1626164,0022200334,"Dec 02, 2022",PHX vs. HOU,L,34,15,25,0.6,4,6,0.667,7,10,0.7,0,4,4,8,0,0,3,3,41,8,1
22022,1626164,0022200321,"Nov 30, 2022",PHX vs. CHI,W,31,20,25,0.8,6,7,0.857,5,6,0.833,0,4,4,6,1,0,2,3,51,23,1
22022,1626164,0022200307,"Nov 28, 2022",PHX @ SAC,W,41,17,28,0.607,1,6,0.167,9,9,1.0,0,8,8,4,6,0,6,4,44,14,1
22022,1626164,0022200289,"Nov 26, 2022",PHX vs. UTA,W,39,8,27,0.296,1,7,0.143,10,11,0.909,4,7,11,7,0,0,2,3,27,-4,1
22022,1626164,0022200283,"Nov 25, 2022",PHX vs. DET,W,36,8,17,0.471,2,7,0.286,3,7,0.429,0,7,7,5,1,1,2,2,21,10,1
22022,1626164,0022200259,"Nov 22, 2022",PHX vs. LAL,W,35,10,24,0.417,2,6,0.333,3,3,1.0,1,3,4,5,0,0,4,6,25,4,1
22022,1626164,0022200240,"Nov 20, 2022",PHX vs. NYK,W,30,7,17,0.412,5,8,0.625,1,1,1.0,1,4,5,3,0,0,0,0,20,13,1
22022,1626164,0022200232,"Nov 18, 2022",PHX @ UTA,L,41,16,31,0.516,2,9,0.222,15,15,1.0,1,7,8,10,1,0,1,3,49,-4,1
22022,1626164,0022200220,"Nov 16, 2022",PHX vs. GSW,W,37,8,17,0.471,2,5,0.4,9,9,1.0,0,2,2,9,0,3,3,2,27,6,1
22022,1626164,0022200202,"Nov 14, 2022",PHX @ MIA,L,42,11,22,0.5,2,7,0.286,1,2,0.5,2,6,8,5,3,1,2,5,25,-7,1
22022,1626164,0022200177,"Nov 11, 2022",PHX @ ORL,L,34,6,19,0.316,2,8,0.25,3,3,1.0,3,5,8,6,1,0,2,2,17,-27,1
22022,1626164,0022200167,"Nov 09, 2022",PHX @ MIN,W,38,12,23,0.522,5,7,0.714,3,3,1.0,0,4,4,10,2,0,1,2,32,26,1
22022,1626164,0022200148,"Nov 07, 2022",PHX @ PHI,L,43,8,16,0.5,1,1,1.0,11,14,0.786,2,5,7,5,1,0,6,2,28,-9,1
22022,1626164,0022200139,"Nov 05, 2022",PHX vs. POR,W,29,9,20,0.45,2,7,0.286,4,4,1.0,1,2,3,3,1,2,1,2,24,19,1
22022,1626164,0022200130,"Nov 04, 2022",PHX vs. POR,L,38,8,21,0.381,3,7,0.429,6,6,1.0,0,5,5,5,1,1,5,3,25,3,1
22022,1626164,0022200106,"Nov 01, 2022",PHX vs. MIN,W,30,6,18,0.333,2,7,0.286,4,5,0.8,1,6,7,5,0,1,2,5,18,11,1
22022,1626164,0022200094,"Oct 30, 2022",PHX vs. HOU,W,35,14,24,0.583,1,7,0.143,1,3,0.333,1,2,3,6,1,0,1,2,30,11,1
22022,1626164,0022200079,"Oct 28, 2022",PHX vs. NOP,W,33,6,14,0.429,0,4,0.0,4,4,1.0,0,5,5,4,0,0,5,1,16,4,1
22022,1626164,0022200055,"Oct 25, 2022",PHX vs. GSW,W,35,10,19,0.526,3,8,0.375,11,14,0.786,1,1,2,7,3,0,3,3,34,32,1
22022,1626164,0022200043,"Oct 23, 2022",PHX @ LAC,W,35,13,21,0.619,5,9,0.556,4,4,1.0,1,0,1,4,1,0,3,1,35,13,1
22022,1626164,0022200027,"Oct 21, 2022",PHX @ POR,L,44,11,23,0.478,3,7,0.429,8,9,0.889,0,5,5,3,1,0,2,1,33,-2,1
22022,1626164,0022200013,"Oct 19, 2022",PHX vs. DAL,W,41,10,20,0.5,1,1,1.0,7,7,1.0,1,3,4,9,0,1,2,3,28,20,1
