SEASON_ID,Player_ID,Game_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE
22025,203110,0022500462,"Dec 31, 2025",GSW @ CHA,W,28,4,6,0.667,2,4,0.5,0,0,0.0,1,7,8,12,1,0,4,2,10,18,1
22025,203110,0022500449,"Dec 29, 2025",GSW @ BKN,W,25,1,3,0.333,0,1,0.0,5,6,0.833,0,5,5,3,1,1,1,5,7,3,1
22025,203110,0022500441,"Dec 28, 2025",GSW @ TOR,L,33,8,14,0.571,4,8,0.5,1,3,0.333,0,4,4,7,1,0,3,2,21,-2,1
22025,203110,0022500011,"Dec 25, 2025",GSW vs. DAL,W,28,2,7,0.286,1,4,0.25,2,2,1.0,1,4,5,3,1,0,2,5,7,-9,1
22025,203110,0022500407,"Dec 22, 2025",GSW vs. ORL,W,18,4,5,0.8,0,1,0.0,1,3,0.333,1,6,7,2,0,0,1,1,9,-5,1
22025,203110,0022500392,"Dec 20, 2025",GSW vs. PHX,W,8,2,2,1.0,0,0,0.0,0,0,0.0,0,3,3,1,1,1,1,0,4,-6,1
22025,203110,0022500378,"Dec 18, 2025",GSW @ PHX,L,30,3,9,0.333,1,6,0.167,0,0,0.0,2,4,6,3,2,2,5,2,7,-10,1
22025,203110,0022501221,"Dec 14, 2025",GSW @ POR,L,30,5,8,0.625,2,4,0.5,2,2,1.0,1,7,8,7,3,1,8,5,14,-12,1
22025,203110,0022500333,"Dec 04, 2025",GSW @ PHI,L,9,1,3,0.333,1,3,0.333,0,0,0.0,0,3,3,0,0,1,1,0,3,-10,1
22025,203110,0022500323,"Dec 02, 2025",GSW vs. OKC,L,29,5,11,0.455,3,8,0.375,0,0,0.0,0,9,9,4,0,1,3,5,13,-17,1
22025,203110,0022500298,"Nov 29, 2025",GSW vs. NOP,W,31,0,9,0.0,0,7,0.0,2,2,1.0,1,8,9,4,1,0,1,4,2,3,1
22025,203110,0022500066,"Nov 26, 2025",GSW vs. HOU,L,34,5,8,0.625,2,5,0.4,0,0,0.0,1,8,9,8,0,2,4,3,12,9,1
22025,203110,0022500056,"Nov 21, 2025",GSW vs. POR,L,34,4,11,0.364,2,6,0.333,1,2,0.5,1,4,5,7,3,1,3,4,11,-3,1
22025,203110,0022500249,"Nov 18, 2025",GSW @ ORL,L,31,5,8,0.625,2,5,0.4,0,0,0.0,0,6,6,6,0,2,3,4,12,9,1
22025,203110,0022500237,"Nov 16, 2025",GSW @ NOP,W,25,3,13,0.231,2,5,0.4,0,0,0.0,4,6,10,6,2,1,5,4,8,23,1
22025,203110,0022500047,"Nov 14, 2025",GSW @ SAS,W,33,3,12,0.25,0,4,0.0,0,0,0.0,4,4,8,8,0,3,4,5,6,-8,1
22025,203110,0022500220,"Nov 12, 2025",GSW @ SAS,W,27,1,10,0.1,0,7,0.0,4,4,1.0,0,5,5,4,1,0,4,6,6,15,1
22025,203110,0022500210,"Nov 11, 2025",GSW @ OKC,L,22,1,4,0.25,1,3,0.333,0,0,0.0,0,2,2,4,1,0,3,4,3,-21,1
22025,203110,0022500196,"Nov 09, 2025",GSW vs. IND,W,25,1,3,0.333,1,2,0.5,0,0,0.0,0,2,2,3,0,0,4,2,3,14,1
22025,203110,0022500037,"Nov 07, 2025",GSW @ DEN,L,26,6,12,0.5,5,10,0.5,0,0,0.0,1,5,6,4,1,1,3,2,17,-10,1
22025,203110,0022500169,"Nov 04, 2025",GSW vs. PHX,W,33,1,2,0.5,0,1,0.0,0,2,0.0,0,5,5,8,1,1,4,1,2,13,1
22025,203110,0022500144,"Nov 01, 2025",GSW @ IND,L,30,2,5,0.4,2,4,0.5,2,2,1.0,1,9,10,1,0,0,3,5,8,-13,1
22025,203110,0022500139,"Oct 30, 2025",GSW @ MIL,L,33,3,7,0.429,1,3,0.333,0,0,0.0,0,4,4,6,0,1,1,3,7,4,1
22025,203110,0022500127,"Oct 28, 2025",GSW vs. LAC,W,31,3,7,0.429,1,3,0.333,0,0,0.0,2,5,7,4,3,0,0,3,7,29,1
22025,203110,0022500121,"Oct 27, 2025",GSW vs. MEM,W,28,2,6,0.333,2,5,0.4,1,2,0.5,0,4,4,10,1,0,4,6,7,18,1
22025,203110,0022500097,"Oct 24, 2025",GSW @ POR,L,21,4,7,0.571,3,4,0.75,1,2,0.5,0,3,3,5,0,0,5,4,12,-13,1
22025,203110,0022500006,"Oct 23, 2025",GSW vs. DEN,W,34,5,8,0.625,2,5,0.4,1,2,0.5,0,8,8,8,0,1,1,2,13,11,1
22025,203110,0022500002,"Oct 21, 2025",GSW @ LAL,W,28,3,6,0.5,1,3,0.333,1,3,0.333,1,6,7,9,1,2,4,5,8,20,1
